Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,26,0.46,0.38,0.49,0.211193241816262,11,32.5,21.7,8,4.3,14.1,19.1,101.2
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,20,0.45,0.336,0.49,0.755364806866953,10.9,33.8,21.9,7.1,5.3,15.1,18.8,101.2
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,20,0.45,0.336,0.49,0.755364806866953,10.9,33.8,21.9,7.1,5.3,15.1,18.8,101.2
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,16,0.45,0.364,0.485,0.755458515283843,12.3,33.9,22.3,7.3,3.8,16.3,22.1,102.3
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,5,0.456,0.358,0.494,0.732394366197183,11.4,32.9,23.7,7.8,4.5,13.9,20,100.9
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,28,0.456,0.349,0.5,0.748917748917749,11,30.2,23.3,8.7,6.2,12.9,23.9,105
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,29,0.435,0.335,0.465,0.747619047619048,11.7,31.7,20.2,7.5,5.4,12.2,21.2,97.8
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,19,0.442,0.349,0.481,0.739299610894942,10.6,32.3,23.2,6.7,3,14.3,21.5,100.1
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,1,0.449,0.35,0.487,0.757085020242915,11.5,34.8,23.7,9.5,5.5,16.8,20.2,101
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,26,0.46,0.38,0.49,0.211193241816262,11,32.5,21.7,8,4.3,14.1,19.1,101.2
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,23,0.442,0.351,0.478,0.741293532338308,10.5,31.9,20.1,7.4,5.2,15.3,20.3,95.1
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,3,0.458,0.346,0.498,0.747211895910781,11,34.1,23.1,7.5,6.1,14.4,20.7,105
0,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,19,0.442,0.349,0.481,0.739299610894942,10.6,32.3,23.2,6.7,3,14.3,21.5,100.1
